Measure,Area,Mean,Min,Max,Angle,Length
1,614,200.594,0,255,-21.251,121.340
2,682,78.893,0,255,-17.512,135.714
3,701,113.131,0,255,-11.716,139.236
4,715,119.476,0,255,-7.377,141.907
5,710,118.162,0,255,-5.634,140.785
6,680,133.125,0,255,-2.131,135.172
7,641,133.666,0,255,4.247,127.260
8,600,158.950,0,255,8.173,119.327
9,574,151.045,0,255,11.124,113.974
10,540,164.333,0,255,15.668,107.013
11,485,177.186,0,255,20.336,95.815
12,428,177.547,0,255,25.994,84.577
13,377,175.862,0,255,37.451,74.391
14,319,135.094,0,255,45.406,62.642
15,729,67.860,0,255,52.931,144.880
16,677,157.821,0,255,62.478,134.604
17,674,177.819,0,255,76.223,134.552
18,650,181.246,0,255,92.235,128.894
19,599,125.584,0,255,111.125,118.542
20,654,86.170,0,255,131.864,129.917
21,723,128.734,0,255,152.090,143.616
22,814,163.213,0,255,169.875,160.829
23,872,191.835,0,255,-171.459,173.442
24,879,223.669,0,255,-152.049,174.254
25,889,161.777,0,255,-130.535,176.906
26,731,175.814,0,255,-104.819,144.925
27,718,189.652,0,255,-82.155,142.697
28,772,164.495,0,255,-63.541,152.287
29,842,198.064,0,255,-49.259,167.503
30,832,201.058,0,255,-35.259,165.427
31,816,193.125,0,255,-21.884,161.818
32,745,187.913,0,255,-10.500,148.242
33,690,199.196,0,255,3.691,136.619
34,654,210.161,0,255,13.903,130.741
35,585,215.333,0,255,26.010,116.047
36,581,172.926,0,255,37.245,115.228
37,595,97.714,0,255,51.054,117.941
38,562,177.411,0,255,63.291,111.827
39,613,120.220,0,255,74.745,121.778
40,631,145.887,0,255,85.956,124.708
41,735,165.837,0,255,91.975,145.846
42,842,158.694,0,255,101.479,167.326
43,912,140.082,0,255,107.805,180.807
44,978,141.058,0,255,112.591,194.619
45,1042,144.631,0,255,118.042,207.145
46,645,204.395,0,255,128.220,127.952
47,710,135.761,0,255,135.721,141.284
48,795,157.811,0,255,140.807,158.078
