Densidad de fl B	Hall voltage UH
B/mT	UH/mV

-305,56	-60,3649
-281,4904	-56,2052
-262,3763	-52,7853
-241,3154	-48,9341
-220,4315	-45,0066
-200,2555	-41,1754
-178,6637	-36,9825
-160,2575	-33,2077
-141,6744	-29,4825
-121,6754	-25,3162
-101,0551	-21,0471
-79,4456	-16,4927
-64,0304	-13,1723
-40,0847	-7,9843
-23,5723	-4,4184
-13,5551	-2,2357
20,4786	5,1581
40,1591	9,4073
62,0695	14,0745
81,1128	18,1413
100,103	22,1517
120,9674	26,4175
141,1434	30,5473
160,0805	34,4051
180,0795	38,2497
199,5476	41,9648
220,6085	45,8724
241,8463	49,7435
259,8985	52,971
280,6055	56,7492
303,0822	60,4777
