Sample temperature Tp	Hall voltage UH
Tp/°C	UH/mV

25,142	60,076
25,159	60,100
25,176	60,166
25,261	60,076
25,329	60,066
26,479	60,060
27,739	60,066
29,204	60,169
30,899	60,176
33,676	60,299
35,644	60,408
37,756	60,461
39,945	60,471
43,173	60,338
45,336	60,265
47,568	60,209
49,689	60,040
52,993	59,516
55,114	59,091
57,210	58,580
59,262	57,874
62,576	56,693
64,654	55,602
66,630	54,368
68,589	52,941
70,701	51,339
73,614	48,480
75,565	46,360
77,353	44,094
79,168	41,640
81,791	37,716
83,563	34,969
85,326	32,173
87,838	27,917
89,576	25,058
91,032	22,261
92,608	19,568
94,967	15,697
96,569	13,252
98,102	10,996
99,626	8,897
100,912	6,929
102,991	4,332
104,464	2,806
105,836	1,450
107,215	0,226
109,277	-1,367
110,554	-2,259
111,738	-3,042
112,879	-3,735
114,762	-4,584
115,946	-5,065
117,104	-5,450
118,254	-5,768
119,974	-6,176
121,124	-6,409
122,095	-6,588
123,168	-6,730
124,778	-6,856
125,809	-6,946
126,771	-7,009
127,725	-7,039
129,063	-7,056
130,034	-7,049
130,928	-7,062
131,797	-7,036
133,100	-6,992
134,037	-6,953
134,880	-6,913
135,672	-6,863
136,762	-6,803
137,571	-6,754
138,415	-6,687
139,147	-6,621
140,084	-6,528
