Sample temperature Tp	Sample voltage Up
Tp/°C	Up/V

26,734	1,547
26,743	1,549
26,785	1,548
27,084	1,547
27,833	1,551
29,792	1,560
31,444	1,573
33,259	1,590
35,132	1,605
37,943	1,634
40,098	1,657
42,193	1,676
44,382	1,696
47,670	1,730
49,825	1,752
52,005	1,776
54,254	1,796
57,414	1,819
59,535	1,838
61,613	1,855
63,632	1,866
66,690	1,879
68,623	1,883
70,556	1,887
72,396	1,885
75,130	1,871
76,987	1,862
78,801	1,849
80,633	1,825
83,230	1,788
85,002	1,757
86,646	1,724
88,366	1,688
90,709	1,625
92,318	1,587
93,843	1,542
95,461	1,496
97,684	1,427
99,209	1,380
100,674	1,333
101,977	1,290
103,306	1,245
105,376	1,182
106,730	1,141
108,007	1,102
109,311	1,063
111,219	1,007
112,479	0,973
113,629	0,936
114,855	0,905
116,567	0,861
117,641	0,834
118,867	0,807
119,966	0,780
121,482	0,745
122,649	0,721
123,620	0,701
124,651	0,682
125,681	0,662
127,129	0,635
127,913	0,617
128,867	0,599
129,812	0,585
131,005	0,562
132,001	0,548
132,870	0,536
133,730	0,522
134,590	0,509
135,774	0,493
136,524	0,483
137,282	0,472
138,082	0,462
139,164	0,446
139,769	0,437
140,203	0,430
