theta,intensidad
4.8,1832
5,1820
5.4,1820
5.6,1829.33
5.8,1821.33
6,1826.67
6.3,1826.67
6.6,1822.67
6.8,1825.33
7,1821.33
7.1,1824
7.5,1832
7.9,1850.67
8.1,1842.67
8.3,1854.67
8.7,1834.67
8.9,1854.67
9.1,1852
9.3,1849.33
9.5,1849.33
9.9,1840
10.2,1838
10.5,1845.33
10.7,1829.33
11.1,1846.67
11.4,1880
11.7,1914.67
12.1,1853.33
12.4,1861.33
12.6,1993.33
12.8,2156
13,2138.67
13.4,1885.33
13.7,1831.33
13.9,1830.67
14.1,1828
14.5,1826.67
14.7,1822.67
14.9,1816
15.1,1826.67
15.4,1834.67
15.7,1826.67
16.1,1824
16.5,1826.67
16.8,1834.67
17,1821.33
17.2,1822.67
17.4,1828
17.6,1822.67
18.1,1830.67
18.4,1827.33
18.8,1826.67
19.2,1824.67
19.5,1821.33
19.9,1816
20.3,1825.33
20.6,1828
21.1,1822
21.5,1822
21.9,1830.67
22.3,1818.67
22.5,1818.67
22.7,1820
23,1829.33
23.4,1824
23.9,1836
24.2,1844
24.6,1827.33
25,1826.67
25.4,1820.67
25.7,1818.67
26.2,1828
26.6,1852
26.9,1877.33
27.3,1834.67
27.6,1825.33
28.1,1825.33
28.5,1825.33
28.9,1822.67
29.3,1828
29.7,1826.67
30,1825.33
30.4,1824
30.8,1824
31.2,1822
31.6,1820
32,1827.33
32.3,1816
32.7,1824.67
33.1,1819.33
33.5,1826.67
33.8,1825.33
34.3,1819.33
34.6,1828
35.1,1826.67
35.5,1826
35.8,1824
36.2,1820
36.5,1824
36.9,1820.67
37.4,1817.33
37.6,1830.67
38.2,1828
38.6,1820.67
38.9,1821.33
39.3,1828
39.8,1818.67
40.1,1818
40.5,1820
41,1816
41.4,1824
41.8,1822.67
42.2,1814
42.5,1817.33
42.9,1827.33
43.3,1824.67
43.4,1817.67
