X_(Angstroms),Y_(Angstroms)
7.760956,130.236872
118.852317,77.668367
18.326413,64.158843
18.469233,129.228093
132.543277,23.383608
61.341627,23.601549
114.827612,122.551585
132.460798,124.598609
28.961023,112.727288
102.639652,102.266857
92.346693,95.854418
81.851642,93.783660
129.418239,24.016606
100.795087,136.725865
14.573871,27.801044
124.471789,99.770431
17.679876,94.048588
0.094321,67.043158
74.447697,58.496724
10.390718,22.131475
62.654674,62.700377
128.676522,105.297179
14.493313,38.314481
109.511442,127.790293
77.370420,130.848786
30.527553,5.762703
97.835503,88.642450
52.394075,55.889455
1.103421,61.777947
1.120991,97.762924
25.396923,64.201948
16.715802,6.608961
68.479726,97.296009
94.778758,40.130544
35.322609,63.798342
47.903186,47.823576
82.994673,136.878721
59.850204,118.642472
94.821199,20.841676
66.968990,110.806664
124.350927,44.489386
118.613864,52.722295
29.241802,115.826786
139.844986,0.405430
16.449560,101.296098
112.199165,123.840923
116.191782,86.866917
57.229824,48.928547
44.289427,111.922673
91.876407,77.109358
78.871386,2.989062
113.267783,122.311517
65.023687,51.794755
50.220218,88.900696
30.786977,14.979245
42.772926,115.872177
56.705794,36.115025
37.858866,51.026993
15.188324,5.786158
5.592034,10.301422
86.339466,96.241350
38.004633,51.980468
107.661749,28.324159
113.316561,127.848854
56.375481,8.090839
6.088961,20.017479
108.614464,101.169757
54.652197,108.911176
97.409046,86.756821
1.205931,60.740420
109.661323,95.432886
67.585165,133.881117
5.311716,19.269055
14.793633,128.849767
119.012444,30.836447
38.338080,20.979300
137.208093,63.188613
52.309457,101.206542
28.687785,24.689869
64.112380,73.840296
123.730811,59.753778
137.603202,92.092859
91.881853,78.447761
75.203853,72.251455
70.866215,120.058118
135.062327,125.058650
61.877667,68.135425
126.730903,37.937588
133.581085,62.979247
81.752390,113.498933
97.980460,68.437852
131.367732,51.482121
60.785551,19.696584
44.539215,10.403428
72.138653,85.039764
123.698278,55.642702
40.880342,23.968191
105.032621,12.171752
19.841467,22.430853
128.599749,73.577445
24.985173,23.665598
96.086107,71.320264
137.513066,134.388272
0.206610,39.485845
113.215407,23.397593
3.687675,33.813709
125.304575,0.647243
129.572491,105.538045
102.794930,69.695742
139.506539,41.676250
89.341028,112.931301
74.159944,14.256669
60.199115,68.662124
68.308284,130.608198
90.480587,131.664839
58.099005,54.453979
6.644091,140.238558
129.750510,103.338576
30.954978,32.875628
11.840789,115.773402
14.292190,1.157532
65.376447,102.261394
90.502370,136.868527
75.383402,109.916603
137.365681,91.134270
6.655059,3.764137
57.309438,13.768686
2.108782,99.820218
49.334552,75.737431
52.669646,63.859004
81.525744,114.545700
89.798304,73.879258
13.826057,90.919818
44.318989,38.206390
105.747210,67.950515
90.231964,122.698550
23.840634,15.685774
29.148316,70.538702
24.025687,56.044690
108.557946,34.642309
57.627850,12.983118
65.955307,137.318751
133.861073,45.723269
63.618029,131.230457
131.473239,128.902781
94.202587,75.411682
2.711544,54.363957
51.909444,85.213976
21.854433,16.167755
71.397205,32.649929
37.702622,58.283373
76.851490,110.223383
114.487870,129.844562
22.381407,105.865500
56.227146,80.928092
11.316871,105.936070
66.680867,56.810477
91.867331,121.904718
12.852949,49.396702
7.442621,133.027371
121.113810,78.144880
58.790326,66.385508
95.864420,61.032447
124.653489,52.514630
103.102634,71.339425
73.986598,138.829433
119.066878,43.011850
12.546191,72.683636
81.273061,140.423670
30.680281,47.641250
113.979841,112.355030
106.895861,42.457073
42.528497,75.421952
129.992796,87.556738
30.114948,83.890920
3.432319,130.902826
32.272257,41.474250
29.283391,74.268073
18.987773,139.532096
4.536211,63.994094
85.679832,65.969922
96.115320,129.428711
15.768031,63.013431
128.757362,102.313206
34.153722,124.795916
107.417387,130.710242
77.160439,3.230319
70.865804,109.065285
34.395283,90.351254
136.917625,89.154118
24.065269,103.073295
9.722629,52.951025
82.522093,58.150922
0.696137,137.890501
124.533115,10.028358
2.833467,137.504956
63.340970,84.517440
14.468168,86.399262
107.127491,30.531668
113.338151,127.909028
7.560956,129.936872
118.352317,76.968367
18.726413,64.858843
18.369233,129.328093
132.743277,23.083608
61.041627,23.301549
115.927612,123.651585
131.760798,124.398609
27.861023,112.427288
103.339652,101.366857
91.046693,95.854418
82.451642,94.783660
129.018239,24.016606
100.495087,136.725865
15.673871,27.101044
