r_(Angstroms),rho/rho_uniforme
0.000000,0.000000
0.009841,0.000000
0.019683,0.000000
0.029524,0.000000
0.039365,0.000000
0.049206,0.000000
0.059048,0.000000
0.068889,0.000000
0.078730,0.000000
0.088571,0.000000
0.098413,0.000000
0.108254,0.000000
0.118095,0.000000
0.127937,0.000000
0.137778,0.000000
0.147619,0.000000
0.157460,0.000000
0.167302,0.000000
0.177143,0.000000
0.186984,0.000000
0.196825,0.000000
0.206667,0.000000
0.216508,0.000000
0.226349,0.000000
0.236190,0.000000
0.246032,0.000000
0.255873,0.000000
0.265714,0.000000
0.275556,0.000000
0.285397,0.000000
0.295238,0.000000
0.305079,0.000000
0.314921,0.000000
0.324762,0.000000
0.334603,0.000000
0.344444,0.000000
0.354286,0.000000
0.364127,0.000000
0.373968,0.000000
0.383810,0.000000
0.393651,0.000000
0.403492,0.000000
0.413333,0.000000
0.423175,0.000000
0.433016,0.000000
0.442857,0.000000
0.452698,0.000000
0.462540,0.000000
0.472381,0.000000
0.482222,0.000000
0.492063,0.000000
0.501905,0.000000
0.511746,0.000000
0.521587,0.000000
0.531429,0.000000
0.541270,0.000000
0.551111,0.000000
0.560952,0.000000
0.570794,0.000000
0.580635,0.000000
0.590476,0.000000
0.600317,0.000000
0.610159,0.000000
0.620000,0.000000
0.629841,0.000000
0.639683,0.000000
0.649524,0.000000
0.659365,0.000000
0.669206,0.000000
0.679048,0.000000
0.688889,0.000000
0.698730,0.000000
0.708571,0.000000
0.718413,0.000000
0.728254,0.000000
0.738095,0.000000
0.747937,0.000000
0.757778,0.000000
0.767619,0.000000
0.777460,0.000000
0.787302,0.000000
0.797143,0.000000
0.806984,0.000000
0.816825,0.000000
0.826667,0.000000
0.836508,0.000000
0.846349,0.000000
0.856190,0.000000
0.866032,0.000000
0.875873,0.000000
0.885714,0.000000
0.895556,0.000000
0.905397,0.000000
0.915238,0.000000
0.925079,0.000000
0.934921,0.000000
0.944762,0.000000
0.954603,0.000000
0.964444,0.000000
0.974286,0.000000
0.984127,0.000000
0.993968,0.000000
1.003810,0.000000
1.013651,0.000000
1.023492,0.000000
1.033333,0.000000
1.043175,0.000000
1.053016,0.000000
1.062857,0.000000
1.072698,0.000000
1.082540,0.000000
1.092381,0.000000
1.102222,0.000000
1.112063,0.000000
1.121905,0.000000
1.131746,0.000000
1.141587,0.000000
1.151429,0.000000
1.161270,0.000000
1.171111,0.000000
1.180952,0.000000
1.190794,0.000000
1.200635,0.000000
1.210476,0.000000
1.220317,0.000000
1.230159,0.000000
1.240000,0.000000
1.249841,0.000000
1.259683,0.000000
1.269524,0.000000
1.279365,0.000000
1.289206,0.000000
1.299048,0.000000
1.308889,0.000000
1.318730,0.000000
1.328571,0.000000
1.338413,0.000000
1.348254,0.000000
1.358095,0.000000
1.367937,0.000000
1.377778,0.000000
1.387619,0.000000
1.397460,0.000000
1.407302,0.000000
1.417143,0.000000
1.426984,0.000000
1.436825,0.000000
1.446667,0.000000
1.456508,0.000000
1.466349,0.000000
1.476190,0.000000
1.486032,0.000000
1.495873,0.000000
1.505714,0.000000
1.515556,0.000000
1.525397,0.000000
1.535238,0.000000
1.545079,0.000000
1.554921,0.000000
1.564762,0.000000
1.574603,0.000000
1.584444,0.000000
1.594286,0.000000
1.604127,0.000000
1.613968,0.000000
1.623810,0.000000
1.633651,0.000000
1.643492,0.000000
1.653333,0.000000
1.663175,0.000000
1.673016,0.000000
1.682857,0.000000
1.692698,0.000000
1.702540,0.000000
1.712381,0.000000
1.722222,0.000000
1.732063,0.000000
1.741905,0.000000
1.751746,0.000000
1.761587,0.000000
1.771429,0.000000
1.781270,0.000000
1.791111,0.000000
1.800952,0.000000
1.810794,0.000000
1.820635,0.000000
1.830476,0.000000
1.840317,0.000000
1.850159,0.000000
1.860000,0.000000
1.869841,0.000000
1.879683,0.000000
1.889524,0.000000
1.899365,0.000000
1.909206,0.000000
1.919048,0.000000
1.928889,0.000000
1.938730,0.000000
1.948571,0.000000
1.958413,0.000000
1.968254,0.000000
1.978095,0.000000
1.987937,0.000000
1.997778,0.000000
2.007619,0.000000
2.017460,0.000000
2.027302,0.000000
2.037143,0.000000
2.046984,0.000000
2.056825,0.000000
2.066667,0.000000
2.076508,0.000000
2.086349,0.000000
2.096190,0.000000
2.106032,0.000000
2.115873,0.000000
2.125714,0.000000
2.135556,0.000000
2.145397,0.000000
2.155238,0.000000
2.165079,0.000000
2.174921,0.000000
2.184762,0.000000
2.194603,0.000000
2.204444,0.000000
2.214286,0.000000
2.224127,0.000000
2.233968,0.000000
2.243810,0.000000
2.253651,0.000000
2.263492,0.000000
2.273333,0.000000
2.283175,0.000000
2.293016,0.000000
2.302857,0.000000
2.312698,0.000000
2.322540,0.000000
2.332381,0.000000
2.342222,0.000000
2.352063,0.000000
2.361905,0.000000
2.371746,0.000000
2.381587,0.000000
2.391429,0.000000
2.401270,0.000000
2.411111,0.000000
2.420952,0.000000
2.430794,0.000000
2.440635,0.000000
2.450476,0.000000
2.460317,0.000000
2.470159,0.000000
2.480000,0.000000
2.489841,0.000000
2.499683,0.000000
2.509524,0.000000
2.519365,0.000000
2.529206,0.000000
2.539048,0.000000
2.548889,0.000000
2.558730,0.000000
