promedio_temporal,energia_en_cada_paso
0.420849,0.420849
0.212050,0.003252
0.138263,-0.009311
0.100326,-0.013486
0.077252,-0.015045
0.061912,-0.014787
0.050812,-0.015787
0.042440,-0.016162
0.035963,-0.015854
0.030736,-0.016312
0.026475,-0.016128
0.022934,-0.016017
0.019907,-0.016423
0.017351,-0.015868
0.015111,-0.016254
0.013119,-0.016765
0.011369,-0.016631
0.009825,-0.016416
0.008439,-0.016518
0.007199,-0.016346
0.006066,-0.016606
0.005073,-0.015782
0.004134,-0.016529
0.003289,-0.016132
0.002495,-0.016567
0.001769,-0.016390
0.001093,-0.016466
0.000470,-0.016349
-0.000080,-0.015497
-0.000609,-0.015927
-0.001098,-0.015797
-0.001563,-0.015954
-0.002003,-0.016084
-0.002416,-0.016057
-0.002814,-0.016352
-0.003190,-0.016356
-0.003540,-0.016113
-0.003892,-0.016914
-0.004220,-0.016708
-0.004527,-0.016481
-0.004832,-0.017044
-0.005107,-0.016393
-0.005373,-0.016545
-0.005631,-0.016727
-0.005877,-0.016696
-0.006111,-0.016637
-0.006338,-0.016775
-0.006554,-0.016685
-0.006759,-0.016619
-0.006947,-0.016184
-0.007124,-0.015966
-0.007297,-0.016094
-0.007480,-0.016983
-0.007639,-0.016112
-0.007797,-0.016313
-0.007955,-0.016626
-0.008114,-0.017002
-0.008259,-0.016568
-0.008403,-0.016729
-0.008549,-0.017175
-0.008690,-0.017139
-0.008815,-0.016462
-0.008936,-0.016447
-0.009053,-0.016383
-0.009170,-0.016684
-0.009286,-0.016839
-0.009394,-0.016514
-0.009503,-0.016761
-0.009600,-0.016204
-0.009703,-0.016803
-0.009799,-0.016533
-0.009891,-0.016473
-0.009988,-0.016931
-0.010078,-0.016674
-0.010168,-0.016813
-0.010260,-0.017179
-0.010350,-0.017158
-0.010433,-0.016804
-0.010513,-0.016789
-0.010595,-0.017060
-0.010674,-0.017038
-0.010747,-0.016592
-0.010820,-0.016811
-0.010890,-0.016712
-0.010960,-0.016834
-0.011025,-0.016534
-0.011091,-0.016827
-0.011153,-0.016529
-0.011213,-0.016472
-0.011268,-0.016217
-0.011326,-0.016550
-0.011375,-0.015757
-0.011427,-0.016235
-0.011485,-0.016868
-0.011542,-0.016940
-0.011595,-0.016592
-0.011647,-0.016695
-0.011697,-0.016543
-0.011747,-0.016599
-0.011794,-0.016439
-0.011844,-0.016860
-0.011890,-0.016569
-0.011938,-0.016769
-0.011984,-0.016723
-0.012027,-0.016527
-0.012066,-0.016207
-0.012105,-0.016248
-0.012138,-0.015658
-0.012173,-0.015966
-0.012207,-0.015810
-0.012242,-0.016112
-0.012276,-0.016078
-0.012310,-0.016079
-0.012348,-0.016735
-0.012383,-0.016316
-0.012420,-0.016717
-0.012452,-0.016182
-0.012484,-0.016155
-0.012513,-0.016002
-0.012542,-0.015895
-0.012566,-0.015476
-0.012589,-0.015448
-0.012615,-0.015789
-0.012641,-0.015763
-0.012662,-0.015342
-0.012692,-0.016414
-0.012714,-0.015416
-0.012741,-0.016216
-0.012767,-0.016050
-0.012790,-0.015745
-0.012812,-0.015749
-0.012836,-0.015901
-0.012858,-0.015775
-0.012880,-0.015850
-0.012903,-0.015961
-0.012925,-0.015903
-0.012952,-0.016581
-0.012973,-0.015915
-0.012995,-0.016007
-0.013021,-0.016651
-0.013040,-0.015728
-0.013064,-0.016359
-0.013084,-0.016000
-0.013106,-0.016218
-0.013126,-0.016054
-0.013148,-0.016260
-0.013169,-0.016334
-0.013189,-0.016123
-0.013211,-0.016416
-0.013230,-0.016074
-0.013251,-0.016329
-0.013272,-0.016581
-0.013293,-0.016484
-0.013312,-0.016087
-0.013327,-0.015618
-0.013345,-0.016223
-0.013361,-0.015887
-0.013377,-0.015770
-0.013395,-0.016346
-0.013416,-0.016719
-0.013435,-0.016434
-0.013449,-0.015777
-0.013465,-0.016003
-0.013482,-0.016320
-0.013500,-0.016397
-0.013519,-0.016739
-0.013539,-0.016790
-0.013552,-0.015793
-0.013570,-0.016527
-0.013585,-0.016133
-0.013603,-0.016712
-0.013618,-0.016165
-0.013633,-0.016089
-0.013649,-0.016520
-0.013666,-0.016590
-0.013682,-0.016532
-0.013698,-0.016543
-0.013715,-0.016737
-0.013728,-0.015973
-0.013745,-0.016805
-0.013762,-0.016858
-0.013775,-0.016006
-0.013792,-0.016888
-0.013804,-0.015998
-0.013819,-0.016657
-0.013832,-0.016171
-0.013846,-0.016459
-0.013859,-0.016336
-0.013872,-0.016240
-0.013879,-0.015339
-0.013889,-0.015774
-0.013900,-0.016021
-0.013909,-0.015604
-0.013921,-0.016259
-0.013931,-0.015778
-0.013941,-0.015950
-0.013954,-0.016370
-0.013966,-0.016484
-0.013978,-0.016392
-0.013990,-0.016359
-0.013999,-0.015667
-0.014010,-0.016188
-0.014019,-0.015949
-0.014027,-0.015591
-0.014037,-0.016097
-0.014048,-0.016332
-0.014057,-0.015934
-0.014066,-0.015885
-0.014077,-0.016276
-0.014087,-0.016188
-0.014093,-0.015502
-0.014101,-0.015642
-0.014111,-0.016239
-0.014119,-0.015806
-0.014128,-0.016163
-0.014139,-0.016523
-0.014147,-0.015813
-0.014155,-0.015969
-0.014162,-0.015692
-0.014174,-0.016734
