X_(Angstroms),Y_(Angstroms),rho/rho_uniforme
-19.801980,-19.801980,0.000000
-19.801980,-19.405941,0.000000
-19.801980,-19.009901,0.000000
-19.801980,-18.613861,0.000000
-19.801980,-18.217822,0.000000
-19.801980,-17.821782,0.000000
-19.801980,-17.425743,0.000000
-19.801980,-17.029703,0.000000
-19.801980,-16.633663,0.000000
-19.801980,-16.237624,0.000000
-19.801980,-15.841584,0.000000
-19.801980,-15.445545,0.000000
-19.801980,-15.049505,0.000000
-19.801980,-14.653465,0.000000
-19.801980,-14.257426,0.000000
-19.801980,-13.861386,0.000000
-19.801980,-13.465347,0.000000
-19.801980,-13.069307,0.000000
-19.801980,-12.673267,0.000000
-19.801980,-12.277228,0.000000
-19.801980,-11.881188,0.000000
-19.801980,-11.485149,0.000000
-19.801980,-11.089109,0.000000
-19.801980,-10.693069,0.000000
-19.801980,-10.297030,0.000000
-19.801980,-9.900990,0.000000
-19.801980,-9.504950,0.000000
-19.801980,-9.108911,0.000000
-19.801980,-8.712871,0.000000
-19.801980,-8.316832,0.000000
-19.801980,-7.920792,0.000000
-19.801980,-7.524752,0.000000
-19.801980,-7.128713,0.000000
-19.801980,-6.732673,0.000000
-19.801980,-6.336634,0.000000
-19.801980,-5.940594,0.000000
-19.801980,-5.544554,0.000000
-19.801980,-5.148515,0.000000
-19.801980,-4.752475,0.000000
-19.801980,-4.356436,0.000000
-19.801980,-3.960396,0.000000
-19.801980,-3.564356,0.000000
-19.801980,-3.168317,0.000000
-19.801980,-2.772277,0.033127
-19.801980,-2.376238,1.437191
-19.801980,-1.980198,5.924592
-19.801980,-1.584158,5.387556
-19.801980,-1.188119,9.283771
-19.801980,-0.792079,5.004050
-19.801980,-0.396040,0.174552
-19.801980,0.000000,0.001911
-19.801980,0.396040,0.000000
-19.801980,0.792079,0.000637
-19.801980,1.188119,0.000000
-19.801980,1.584158,0.000000
-19.801980,1.980198,0.000000
-19.801980,2.376238,0.000000
-19.801980,2.772277,0.001274
-19.801980,3.168317,0.126136
-19.801980,3.564356,1.509178
-19.801980,3.960396,1.098279
-19.801980,4.356436,0.119129
-19.801980,4.752475,0.006371
-19.801980,5.148515,0.000000
-19.801980,5.544554,0.000000
-19.801980,5.940594,0.000000
-19.801980,6.336634,0.000000
-19.801980,6.732673,0.000000
-19.801980,7.128713,0.000000
-19.801980,7.524752,0.000000
-19.801980,7.920792,0.000000
-19.801980,8.316832,0.000000
-19.801980,8.712871,0.000000
-19.801980,9.108911,0.000000
-19.801980,9.504950,0.000000
-19.801980,9.900990,0.000000
-19.801980,10.297030,0.000000
-19.801980,10.693069,0.000000
-19.801980,11.089109,0.000000
-19.801980,11.485149,0.000000
-19.801980,11.881188,0.000000
-19.801980,12.277228,0.000000
-19.801980,12.673267,0.000000
-19.801980,13.069307,0.000000
-19.801980,13.465347,0.000000
-19.801980,13.861386,0.000000
-19.801980,14.257426,0.000000
-19.801980,14.653465,0.000000
-19.801980,15.049505,0.000000
-19.801980,15.445545,0.000000
-19.801980,15.841584,0.000000
-19.801980,16.237624,0.000000
-19.801980,16.633663,0.000000
-19.801980,17.029703,0.000000
-19.801980,17.425743,0.000000
